Date,Last Price,Open Interest,SMAVG (15)
4/18/2018,8055.68,,
4/17/2018,7875,2009,4133
4/16/2018,7950,2703,4329
4/13/2018,8090,3129,4483
4/12/2018,7695,3431,4618
4/11/2018,6920,4110,4732
4/10/2018,6805,4325,4798
4/9/2018,6635,4585,4842
4/6/2018,6605,4586,4838
4/5/2018,6770,4713,4777
4/4/2018,6890,4706,4669
4/3/2018,7485,4630,4521
4/2/2018,6985,4554,4354
3/30/2018,,4660,4148
3/29/2018,7240,,
3/28/2018,7890,,
3/27/2018,7890,5006,3899
3/26/2018,7920,4844,3625
3/23/2018,8605,4953,3346
3/22/2018,8600,5017,3057
3/21/2018,8910,5146,2757
3/20/2018,9020,5138,2445
3/19/2018,8445,5113,2130
3/16/2018,8585,4972,1817
3/15/2018,8290,,
3/14/2018,8270,4527,1513
3/13/2018,9120,3669,1234
3/12/2018,8890,3101,1012
3/9/2018,9175,2492,825
3/8/2018,9495,2121,678
3/7/2018,9895,1462,554
3/6/2018,10760,927,472
3/5/2018,11595,897,422
3/2/2018,11050,661,376
3/1/2018,11065,617,345
2/28/2018,10720,517,316
2/27/2018,10710,467,292
2/26/2018,10440,414,271
2/23/2018,9940,408,251
2/22/2018,10045,411,228
2/21/2018,10390,346,204
2/20/2018,11735,335,183
2/19/2018,,301,162
2/16/2018,10155,,
2/15/2018,10135,287,144
2/14/2018,9335,266,127
2/13/2018,8730,222,110
2/12/2018,8925,176,95
2/9/2018,8670,205,
2/8/2018,8360,203,
2/7/2018,8305,181,
2/6/2018,7630,163,
2/5/2018,7070,149,
2/2/2018,8540,111,
2/1/2018,9115,66,
1/31/2018,10020,56,
1/30/2018,10180,31,
1/29/2018,11230,18,
1/26/2018,11010,31,
1/25/2018,11365,30,
1/24/2018,11215,8,
1/23/2018,10955,1,
1/22/2018,10205,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
