Date,Last Price,Open Interest,SMAVG (15)
6/22/2018,6159,,
6/21/2018,6732.5,,
6/20/2018,6762.5,677,497
6/19/2018,6755,655,469
6/18/2018,6720,647,442
6/15/2018,6565,681,414
6/14/2018,6655,663,383
6/13/2018,6282.5,628,351
6/12/2018,6567.5,567,319
6/11/2018,6775,541,288
6/8/2018,7690,361,259
6/7/2018,7735,352,240
6/6/2018,7572.5,346,219
6/5/2018,7660,346,198
6/4/2018,7535,336,177
6/1/2018,7480,330,157
5/31/2018,7592.5,320,136
5/30/2018,7385,261,115
5/29/2018,7540,252,98
5/28/2018,,225,82
5/25/2018,7460,,
5/24/2018,7605,220,67
5/23/2018,7695,184,53
5/22/2018,8232.5,147,
5/21/2018,8432.5,102,
5/18/2018,8300,97,
5/17/2018,8257.5,76,
5/16/2018,8290,49,
5/15/2018,8775,30,
5/14/2018,8810,30,
5/11/2018,8940,30,
5/10/2018,9450,17,
5/9/2018,9545,7,
5/8/2018,9387.5,7,
5/7/2018,9670,7,
5/4/2018,9935,3,
5/3/2018,9425,3,
5/2/2018,8850,,
5/1/2018,9005,,
4/30/2018,9395,,
4/27/2018,9165,,
4/26/2018,9115,,
4/25/2018,9100,,
4/24/2018,9490,,
4/23/2018,8900,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
