Date,Open,High,Low,Close
6/1/2018,7538.2832,7601.3379,7350.3486,7420.7305
5/31/2018,7337.2598,7598.8926,7322.5996,7538.2832
5/30/2018,7501.543,9/9/1920,7277.2031,7337.2598
5/29/2018,7215.9141,7526.4443,7051.0029,7501.543
5/28/2018,7284.6152,7442.4844,7171.7598,7214.7988
5/25/2018,7552.4492,7655.1504,7329.7451,7448.0752
5/24/2018,7589.9961,7729.0039,7267.3896,7552.4492
5/23/2018,8108.5234,8108.6699,7434.6465,7589.9961
5/22/2018,8406.8857,8420.8076,8086.1826,8108.5234
5/21/2018,8520.8535,8594.2188,8316.2852,8406.8857
5/18/2018,8204.0488,8275.5078,7928.7773,8229.5801
5/17/2018,8291.2246,8486.2061,8119.4492,8204.0488
5/16/2018,8518.7549,8552.4521,8102.1016,8291.2246
5/15/2018,8811.6602,8847.0186,8435.5898,8518.7549
5/14/2018,8632.0039,8883.751,8287.7119,8811.6602
5/11/2018,9093.248,9128.0059,8382.0078,8432.0059
5/10/2018,9248.1924,9389.4883,9051.2559,9092.6699
5/9/2018,9160.9727,9364.5801,8971.8828,9248.1924
5/8/2018,9437.623,9459.2051,9045.0107,9160.9727
5/7/2018,9521.7285,9628.75,9173.4648,9437.623
5/4/2018,9652.0273,9795.3887,9528.0547,9683.5352
5/3/2018,9175.9961,9730.5996,9163.0059,9652.0371
5/2/2018,9015.7324,9193.875,8978.9189,9175.7637
5/1/2018,9272.6953,9281.792,8831.2148,9015.7324
4/30/2018,9324.4258,9443.8047,9117.2305,9272.6953
4/27/2018,9118.9619,9379.9492,8955.0059,8977.0713
4/26/2018,9073.1895,9174.8115,8657.4424,9118.9619
4/25/2018,9449.8818,9755.5234,8764.8555,9073.1895
4/24/2018,8932.1963,9464.8516,8910.0059,9449.8818
4/23/2018,8952.4873,9001.2295,8760.2549,8932.2451
4/20/2018,8233.8516,8558.8779,8219,8524.5195
4/19/2018,8187.5293,8297.2695,8096.6406,8233.8516
4/18/2018,7914.6963,8226.3701,7864.0947,8187.5293
4/17/2018,7986.0547,8160.0723,7821.8799,7914.6963
4/16/2018,8322.3809,8410.2852,7905.5039,7986.0547
4/13/2018,7730.4727,8222.3086,7707.1104,7903.9053
4/12/2018,6891.0303,8055.6348,6763.0557,7730.4727
4/11/2018,6839.6172,6965.1523,6784.5479,6891.0303
4/10/2018,6662.1377,6864.8096,6657.9316,6839.6172
4/9/2018,6991.6719,7173.5176,6612.9922,6662.1377
4/6/2018,6749,6850.54,6513.4971,6604.4814
4/5/2018,6830.7549,6922.7236,6578.5918,6749.5508
4/4/2018,7401.2266,7440.1201,6730.2754,6830.7549
4/3/2018,6937.3799,7510.1777,6923.2549,7401.4023
4/2/2018,6826.2324,7111.9668,6757.8896,6937.3799
3/30/2018,7097.0244,7322.4004,6594.0313,6852.5078
3/29/2018,7906.959,8001.9727,7098.1348,7098.1348
3/28/2018,7990.8682,8101.8789,7730.7969,7906.9629
3/27/2018,7888.8398,8265.8701,7745.5664,7990.8682
3/26/2018,8535.5508,8674.6729,7851.3779,7888.8398
3/23/2018,8598.8457,8766.7559,8280.5088,8616.25
3/22/2018,8895.5889,9096.2803,8492.2461,8598.8457
3/21/2018,8919.5498,9173.9961,8760.0049,8895.5889
3/20/2018,8428.6709,9042.2598,8318.4775,8920.3252
3/19/2018,7489.25,8716.3174,7386.9746,8427.1963
3/16/2018,8251.709,8603.5234,7911.0059,8524.1709
3/15/2018,8304.3184,8416.8164,7666.3496,8251.709
3/14/2018,9062.9238,9350.3184,8205.2324,8304.3184
3/13/2018,9017.0098,9479.5635,8853.1895,9062.9238
3/12/2018,9636.748,9889.6758,8772.3047,9017.6504
3/9/2018,9330.2305,9410.582,8368.0645,9004.8359
3/8/2018,9939.5254,10114.8496,9066,9330.2305
3/7/2018,10788.8047,10893.5977,9416.875,9939.5254
3/6/2018,11555.9863,11614.2285,10566.0859,10790.3496
3/5/2018,11118.6484,11671.3516,11106.9941,11555.9863
3/2/2018,10933.748,11174.8438,10778.0547,11029.9453
3/1/2018,10538.0195,11077.4043,10221.6152,10933.748
2/28/2018,10755.8984,11062.8789,10379.6006,10538.0195
2/27/2018,10375.1758,10859.9893,10134.5127,10755.8984
2/26/2018,9372.3203,10452.5,9321.7891,10380.3008
