Date,Open,High,Low,Close,Open Interest,SMAVG (15)
6/1/2018,7550,7620,7300,7420,,
5/31/2018,7335,7660,7335,7545,2328,1409
5/30/2018,7505,7620,7270,7320,2211,1284
5/29/2018,7365,7580,7050,7495,2218,1165
5/28/2018,,,,,2009,1045
5/25/2018,7525,7675,7330,7440,2009,939
5/24/2018,7500,7730,7275,7600,1969,831
5/23/2018,8075,8075,7445,7600,1732,725
5/22/2018,8380,8430,8100,8185,1597,631
5/21/2018,8570,8605,8350,8390,1278,545
5/18/2018,8040,8275,7980,8250,957,480
5/17/2018,8365,8480,8185,8200,697,435
5/16/2018,8470,8485,8150,8300,593,406
5/15/2018,8770,8855,8470,8580,560,384
5/14/2018,8750,8875,8300,8780,500,364
5/11/2018,9130,9135,8445,8650,481,346
5/10/2018,9380,9425,9100,9110,450,330
5/9/2018,9160,9345,8990,9300,432,316
5/8/2018,9345,9505,9070,9260,415,304
5/7/2018,9650,9720,9215,9470,410,292
5/4/2018,9680,9850,9575,9690,392,280
5/3/2018,9250,9800,9215,9685,379,270
5/2/2018,9045,9200,8995,9160,321,261
5/1/2018,9275,9275,8835,8990,306,250
4/30/2018,9430,9440,9165,9365,301,240
4/27/2018,9195,9415,8970,9095,289,230
4/26/2018,8825,9190,8785,8905,261,221
4/25/2018,9695,9695,8920,9010,258,213
4/24/2018,8980,9460,8980,9475,258,205
4/23/2018,8895,8995,8800,8860,241,197
4/20/2018,8450,8560,8450,8530,243,190
4/19/2018,8130,8320,8130,8260,235,182
4/18/2018,7900,8185,7885,8130,244,174
4/17/2018,8120,8140,7840,7880,236,166
4/16/2018,7995,8430,7940,7980,238,157
4/13/2018,7780,8200,7780,8115,240,149
4/12/2018,6950,7785,6725,7690,243,140
4/11/2018,6920,6920,6920,6920,157,130
4/10/2018,6720,6810,6720,6845,157,127
4/9/2018,7090,7165,6635,6680,157,123
4/6/2018,6825,6825,6530,6630,148,119
4/5/2018,6600,6850,6600,6765,140,115
4/4/2018,7310,7310,6760,6875,144,112
4/3/2018,7210,7510,7210,7475,134,108
4/2/2018,7020,7030,6960,6995,131,106
3/29/2018,7560,7560,7100,7350,131,103
3/28/2018,7885,7965,7885,7910,117,100
3/27/2018,8240,8240,8240,7920,111,98
3/26/2018,8030,8125,7920,7935,109,97
3/23/2018,8680,8680,8635,8665,109,96
3/22/2018,8900,8900,8665,8650,106,94
3/21/2018,9085,9085,8925,8925,106,92
3/20/2018,8640,9000,8640,8950,107,90
3/19/2018,8215,8645,8215,8430,98,88
3/16/2018,8315,8620,8315,8605,92,87
3/15/2018,8000,8405,7820,8260,92,86
3/14/2018,9370,9370,8230,8300,88,84
3/13/2018,9520,9520,9190,9105,92,84
3/12/2018,9500,9865,9300,8960,94,82
3/9/2018,9330,9330,8520,9060,89,80
3/8/2018,9870,10150,9305,9450,84,79
3/7/2018,10250,10250,9885,9845,92,77
3/6/2018,11300,11300,10740,10735,92,75
3/5/2018,11300,11670,11300,11740,93,72
3/2/2018,11095,11095,11095,11155,81,70
3/1/2018,10775,11085,10775,11140,80,68
2/28/2018,10715,10715,10715,10715,77,66
2/27/2018,10860,10860,10860,10730,77,64
2/26/2018,9700,10310,9420,10340,77,62
2/23/2018,9815,10345,9810,10020,76,60
2/22/2018,10850,10850,10010,10155,75,58
2/21/2018,10900,11240,10770,10455,74,57
2/20/2018,10630,11835,10630,11870,73,54
2/19/2018,,,,,67,51
2/16/2018,10210,10245,9840,10150,67,48
2/15/2018,9565,10165,9515,10160,59,46
2/14/2018,8720,9400,8720,9370,56,44
2/13/2018,8520,8700,8520,8675,52,42
2/12/2018,8980,8980,8980,8830,52,40
2/9/2018,8330,8555,8330,8610,53,39
2/8/2018,8555,8555,8555,8195,50,37
2/7/2018,8160,8160,8160,8160,49,35
2/6/2018,6060,7175,6060,7440,49,34
2/5/2018,7500,7500,7500,7405,50,32
2/2/2018,8080,9005,8080,8755,50,30
2/1/2018,9265,9265,9000,9290,51,28
1/31/2018,10105,10105,10105,10105,30,26
1/30/2018,10320,10320,10320,10090,30,25
1/29/2018,11235,11235,11235,11235,29,24
1/26/2018,10980,10980,10980,10980,29,23
1/25/2018,11275,11275,11275,11385,29,22
1/24/2018,11330,11330,11330,11330,28,22
1/23/2018,11035,11035,11035,11320,28,21
1/22/2018,10600,10600,10600,10560,27,20
1/19/2018,12015,12015,11300,11620,27,19
1/18/2018,12080,12125,12080,11990,26,18
1/17/2018,9650,9940,9650,11115,26,17
1/16/2018,12500,12500,11500,11320,24,16
1/12/2018,13760,13760,13760,14165,20,15
1/11/2018,14000,14000,14000,13545,20,14
1/10/2018,14655,14655,14655,14655,17,13
1/9/2018,15020,15020,15020,15020,17,12
1/8/2018,15900,15900,15000,15450,16,11
1/5/2018,16805,16805,16805,16805,16,
1/4/2018,15200,15250,15200,15195,16,
1/3/2018,15410,15520,15230,15255,15,
1/2/2018,14250,14250,14105,15160,15,
12/29/2017,14965,15100,14965,14635,15,
12/28/2017,14070,14070,14070,14080,13,
12/27/2017,15110,15110,15110,15105,12,
12/26/2017,16095,16300,16095,16200,11,
12/25/2017,,,,,9,
12/22/2017,13450,13470,13275,14500,9,
12/21/2017,16330,16330,15915,15680,8,
12/20/2017,17300,17300,17275,17275,4,
12/19/2017,19340,19340,19310,18555,3,
12/18/2017,20040,20040,19300,19705,3,
12/15/2017,19900,19900,19900,19900,,
