Date,Open,High,Low,Close,Open Interest,SMAVG (15)
5/25/2018,7530,7650,7315,7494,371,1530
5/24/2018,7620,7720,7230,7580,473,1643
5/23/2018,8050,8075,7425,7590,791,1740
5/22/2018,8345,8420,8070,8180,992,1801
5/21/2018,8525,8680,8320,8375,1239,1846
5/18/2018,8225,8275,7915,8230,1596,1878
5/17/2018,8290,8460,8115,8180,1698,1877
5/16/2018,8475,8545,8115,8250,1852,1863
5/15/2018,8735,8850,8435,8555,1872,1832
5/14/2018,8660,8900,8285,8755,1984,1784
5/11/2018,9110,9125,8380,8625,2064,1710
5/10/2018,9255,9415,9040,9090,2015,1607
5/9/2018,9185,9375,8955,9280,1964,1501
5/8/2018,9410,9490,9010,9235,1995,1389
5/7/2018,9605,9705,9160,9435,2043,1270
5/4/2018,9710,9840,9540,9670,2060,1141
5/3/2018,9245,9805,9180,9675,1938,1010
5/2/2018,9070,9210,8985,9150,1709,887
5/1/2018,9285,9315,8815,8985,1654,778
4/30/2018,9375,9495,9140,9365,1723,672
4/27/2018,9135,9420,8940,9080,1588,561
4/26/2018,9190,9265,8670,8895,1482,458
4/25/2018,9575,9750,8780,9000,1383,363
4/24/2018,8945,9475,8940,9470,1152,275
4/23/2018,8905,9000,8790,8860,883,200
4/20/2018,8300,8585,8285,8530,517,144
4/19/2018,8190,8280,8120,8260,423,113
4/18/2018,7930,8215,7930,8125,285,86
4/17/2018,8040,8155,7810,7885,210,69
4/16/2018,8345,8360,7900,7980,101,56
4/13/2018,7890,8230,7810,8110,108,50
4/12/2018,6865,7935,6680,7680,94,43
4/11/2018,6780,6950,6780,6915,67,38
4/10/2018,6690,6870,6635,6840,59,34
4/9/2018,6755,7205,6635,6670,58,31
4/6/2018,6810,6835,6500,6620,55,28
4/5/2018,6745,6885,6565,6760,54,24
4/4/2018,7400,7415,6740,6865,53,21
4/3/2018,7080,7475,7080,7460,38,
4/2/2018,6785,7095,6785,6990,44,
3/29/2018,7740,7740,7075,7335,42,
3/28/2018,7900,7905,7900,7900,23,
3/27/2018,8195,8195,7920,7915,23,
3/26/2018,8345,8345,7905,7935,15,
3/23/2018,8400,8660,8400,8650,14,
3/22/2018,8760,8760,8610,8645,13,
3/21/2018,9080,9115,8885,8910,11,
3/20/2018,8655,8955,8655,8965,9,
3/19/2018,8425,8745,8285,8425,10,
3/16/2018,8100,8580,7995,8585,11,
3/15/2018,8000,8400,8000,8275,4,
3/14/2018,8630,8630,8300,8315,2,
3/13/2018,9105,9105,9105,9105,,
3/12/2018,8955,8955,8955,8955,,
3/9/2018,9055,9055,9055,9055,,
3/8/2018,9445,9445,9445,9445,,
3/7/2018,9830,9830,9830,9830,,
3/6/2018,10690,10690,10690,10690,,
3/5/2018,11675,11675,11675,11675,,
3/2/2018,11110,11110,11110,11110,,
3/1/2018,11105,11105,11105,11105,,
2/28/2018,10690,10690,10690,10690,,
2/27/2018,10695,10695,10695,10695,,
2/26/2018,10290,10290,10290,10290,,
2/23/2018,10010,10010,10010,10010,,
2/22/2018,10140,10140,10140,10140,,
2/21/2018,10425,10425,10425,10425,,
