Date,Last Price,Open Interest,SMAVG (15)
2/14/2018,9330,,
2/13/2018,8685,,
2/12/2018,8835,3425,4026
2/9/2018,8600,3673,4027
2/8/2018,8280,4130,4011
2/7/2018,8265,4674,3928
2/6/2018,7580,4950,3723
2/5/2018,7055,4532,3451
2/2/2018,8500,4044,3202
2/1/2018,9080,3886,2984
1/31/2018,9955,4017,2772
1/30/2018,10115,4174,2552
1/29/2018,11170,3727,2313
1/26/2018,10940,4024,2103
1/25/2018,11300,3831,1871
1/24/2018,11195,3697,1649
1/23/2018,10975,3610,1434
1/22/2018,10215,3443,1219
1/19/2018,11400,3424,1014
1/18/2018,11765,2891,807
1/17/2018,10820,1590,634
1/16/2018,11110,871,545
1/15/2018,,799,504
1/12/2018,13810,,
1/11/2018,13350,770,466
1/10/2018,14480,717,430
1/9/2018,14810,712,398
1/8/2018,14970,593,359
1/5/2018,16805,570,324
1/4/2018,14970,554,290
1/3/2018,15035,499,255
1/2/2018,15105,468,
1/1/2018,,386,
12/29/2017,14600,,
12/28/2017,13905,364,
12/27/2017,15060,328,
12/26/2017,15935,291,
12/25/2017,,246,
12/22/2017,14065,,
12/21/2017,15410,260,
12/20/2017,16890,235,
12/19/2017,17685,228,
12/18/2017,19185,229,
12/15/2017,17935,132,
12/14/2017,16815,72,
12/13/2017,17180,51,
12/12/2017,18195,31,
12/11/2017,18560,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
