Date,Last Price,Open Interest,SMAVG (15)
1/17/2018,10710,,
1/16/2018,11055,2932,2842
1/15/2018,,2881,2788
1/12/2018,13800,,
1/11/2018,13320,2918,2747
1/10/2018,14445,2886,2704
1/9/2018,14790,2830,2642
1/8/2018,14940,2625,2568
1/5/2018,16775,2636,2499
1/4/2018,14945,2739,2421
1/3/2018,14995,2830,2323
1/2/2018,15055,2955,
1/1/2018,,3237,
12/29/2017,14550,,
12/28/2017,13755,2828,
12/27/2017,14945,2947,
12/26/2017,15810,3089,
12/25/2017,,2298,
12/22/2017,13960,,
12/21/2017,15290,2117,
12/20/2017,16700,2267,
12/19/2017,17555,2278,
12/18/2017,19055,1947,
12/15/2017,18105,1730,
12/14/2017,16800,1583,
12/13/2017,17055,1465,
12/12/2017,18020,1276,
12/11/2017,18545,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
