Date,Last Price,Open Interest,SMAVG (15)
6/22/2018,6145,,
6/21/2018,6725,,
6/20/2018,6757.5,4220,2637
6/19/2018,6747.5,4207,2432
6/18/2018,6710,4211,2223
6/15/2018,6555,4059,2012
6/14/2018,6632.5,4077,1805
6/13/2018,6275,3792,1594
6/12/2018,6567.5,3149,1396
6/11/2018,6782.5,2300,1238
6/8/2018,7677.5,1564,1137
6/7/2018,7725,1475,1085
6/6/2018,7557.5,1409,1037
6/5/2018,7647.5,1346,993
6/4/2018,7527.5,1283,949
6/1/2018,7465,1258,906
5/31/2018,7577.5,1201,865
5/30/2018,7360,1150,827
5/29/2018,7530,1073,792
5/28/2018,,1040,759
5/25/2018,7452.5,,
5/24/2018,7587.5,958,719
5/23/2018,7680,909,678
5/22/2018,8222.5,824,643
5/21/2018,8435,777,614
5/18/2018,8295,788,586
5/17/2018,8260,790,555
5/16/2018,8312.5,752,527
5/15/2018,8570,752,499
5/14/2018,8812.5,686,468
5/11/2018,8657.5,625,441
5/10/2018,9160,643,416
5/9/2018,9370,638,389
5/8/2018,9255,631,362
5/7/2018,9512.5,568,333
5/4/2018,9755,449,305
5/3/2018,9730,344,285
5/2/2018,9160,384,271
5/1/2018,9005,381,252
4/30/2018,9395,361,234
4/27/2018,9165,326,216
4/26/2018,9115,360,198
4/25/2018,9100,334,177
4/24/2018,9490,297,156
4/23/2018,8900,272,137
4/20/2018,8560,257,120
4/19/2018,8260,227,103
4/18/2018,8160,232,88
4/17/2018,7940,208,73
4/16/2018,8215,145,
4/13/2018,8050,144,
4/12/2018,7760,130,
4/11/2018,7010,107,
4/10/2018,6900,104,
4/9/2018,6655,93,
4/6/2018,6695,55,
4/5/2018,6805,47,
4/4/2018,6915,17,
4/3/2018,7500,16,
4/2/2018,6880,13,
3/30/2018,,7,
3/29/2018,7245,,
3/28/2018,7920,,
3/27/2018,7895,6,
3/26/2018,7935,2,
3/23/2018,8645,,
3/22/2018,8630,,
3/21/2018,8945,,
3/20/2018,9040,,
3/19/2018,8490,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
