Date,Last Price,Open Interest,SMAVG (15)
6/13/2018,6276.11,,
6/12/2018,6535,1950,3764
6/11/2018,6755,2607,3919
6/8/2018,7650,3520,4032
6/7/2018,7692.5,3664,4071
6/6/2018,7525,3746,4076
6/5/2018,7625,3805,4050
6/4/2018,7507.5,3860,3972
6/1/2018,7440,3870,3868
5/31/2018,7555,3933,3735
5/30/2018,7347.5,4142,3601
5/29/2018,7497.5,4138,3432
5/28/2018,,4152,3257
5/25/2018,7420,,
5/24/2018,7557.5,4266,3071
5/23/2018,7647.5,4406,2874
5/22/2018,8185,4397,2661
5/21/2018,8395,4283,2447
5/18/2018,8257.5,4293,2237
5/17/2018,8227.5,4103,2025
5/16/2018,8270,3751,1820
5/15/2018,8540,3345,1636
5/14/2018,8775,2647,1476
5/11/2018,8640,2298,1361
5/10/2018,9130,1875,1270
5/9/2018,9332.5,1924,1204
5/8/2018,9232.5,1598,1134
5/7/2018,9445,1522,1082
5/4/2018,9725,1362,1032
5/3/2018,9700,1311,991
5/2/2018,9140,1209,951
5/1/2018,8980,1183,922
4/30/2018,9370,1128,894
4/27/2018,9150,1121,867
4/26/2018,9095,1027,837
4/25/2018,9080,991,812
4/24/2018,9480,942,787
4/23/2018,8890,930,764
4/20/2018,8535,928,742
4/19/2018,8255,890,720
4/18/2018,8135,864,697
4/17/2018,7890,817,675
4/16/2018,7985,780,653
4/13/2018,8120,745,634
4/12/2018,7735,715,617
4/11/2018,6940,773,602
4/10/2018,6820,758,582
4/9/2018,6645,717,562
4/6/2018,6620,680,538
4/5/2018,6790,654,510
4/4/2018,6905,605,483
4/3/2018,7510,607,456
4/2/2018,7005,604,424
3/30/2018,,590,392
3/29/2018,7240,,
3/28/2018,7920,,
3/27/2018,7915,541,358
3/26/2018,7950,539,327
3/23/2018,8645,480,295
3/22/2018,8630,496,267
3/21/2018,8945,493,238
3/20/2018,9040,487,207
3/19/2018,8490,483,177
3/16/2018,8625,450,146
3/15/2018,8305,,
3/14/2018,8280,361,118
3/13/2018,9150,263,
3/12/2018,8920,246,
3/9/2018,9195,193,
3/8/2018,9500,138,
3/7/2018,9885,119,
3/6/2018,10840,81,
3/5/2018,11710,70,
3/2/2018,11135,67,
3/1/2018,11145,63,
2/28/2018,10805,58,
2/27/2018,10790,31,
2/26/2018,10430,31,
2/23/2018,10005,26,
2/22/2018,10115,24,
2/21/2018,10465,,
2/20/2018,11800,,
