Date,Last Price,Open Interest,SMAVG (15)
3/14/2018,8236.11,,
3/13/2018,9075,2016,4460
3/12/2018,8855,2865,4648
3/9/2018,9135,3564,4758
3/8/2018,9440,3774,4793
3/7/2018,9835,4209,4767
3/6/2018,10735,4260,4684
3/5/2018,11570,4673,4583
3/2/2018,11015,4685,4446
3/1/2018,11025,4849,4292
2/28/2018,10695,5085,4128
2/27/2018,10675,5364,3939
2/26/2018,10320,5443,3715
2/23/2018,9920,5338,3476
2/22/2018,10015,5206,3236
2/21/2018,10340,5573,3000
2/20/2018,11685,4830,2738
2/19/2018,,4511,2524
2/16/2018,10135,,
2/15/2018,10095,4088,2332
2/14/2018,9270,3390,2162
2/13/2018,8715,2970,2036
2/12/2018,8895,2742,1933
2/9/2018,8660,2613,1844
2/8/2018,8325,2379,1763
2/7/2018,8295,2392,1695
2/6/2018,7630,2246,1614
2/5/2018,7070,2002,1538
2/2/2018,8490,1858,1474
2/1/2018,9095,1746,1418
1/31/2018,9985,1665,1370
1/30/2018,10115,1640,1323
1/29/2018,11205,1623,1269
1/26/2018,10960,1621,1214
1/25/2018,11315,1548,1156
1/24/2018,11225,1491,1102
1/23/2018,11015,1430,1044
1/22/2018,10220,1408,985
1/19/2018,11455,1391,925
1/18/2018,11795,1360,863
1/17/2018,10855,1183,803
1/16/2018,11125,1098,750
1/15/2018,,1053,699
1/12/2018,13810,,
1/11/2018,13400,1016,650
1/10/2018,14545,1021,602
1/9/2018,14870,966,550
1/8/2018,15025,825,497
1/5/2018,16860,805,452
1/4/2018,15025,744,407
1/3/2018,15075,736,362
1/2/2018,15165,628,
1/1/2018,,546,
12/29/2017,14620,,
12/28/2017,14010,504,
12/27/2017,15175,462,
12/26/2017,16085,452,
12/25/2017,,399,
12/22/2017,13985,,
12/21/2017,15545,334,
12/20/2017,17000,319,
12/19/2017,17850,282,
12/18/2017,19425,243,
12/15/2017,18060,182,
12/14/2017,16825,151,
12/13/2017,17165,125,
12/12/2017,18405,65,
12/11/2017,18680,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
