Date,Last Price,Open Interest,SMAVG (15)
5/16/2018,8238.49,,
5/15/2018,8517.5,1921,3819
5/14/2018,8757.5,2543,3992
5/11/2018,8620,3115,4121
5/10/2018,9095,3533,4205
5/9/2018,9297.5,3685,4257
5/8/2018,9220,4058,4277
5/7/2018,9405,4183,4233
5/4/2018,9705,4408,4137
5/3/2018,9675,4260,4001
5/2/2018,9115,4192,3855
5/1/2018,8975,4254,3682
4/30/2018,9360,4208,3493
4/27/2018,9140,4273,3301
4/26/2018,9090,4336,3096
4/25/2018,9070,4323,2884
4/24/2018,9460,4514,2669
4/23/2018,8880,4471,2431
4/20/2018,8530,4380,2191
4/19/2018,8250,4307,1956
4/18/2018,8130,3993,1720
4/17/2018,7885,3399,1505
4/16/2018,7980,2731,1320
4/13/2018,8110,2371,1180
4/12/2018,7705,2067,1064
4/11/2018,6930,1597,969
4/10/2018,6820,1430,907
4/9/2018,6645,1328,858
4/6/2018,6610,1197,809
4/5/2018,6775,1158,761
4/4/2018,6905,1085,715
4/3/2018,7485,945,668
4/2/2018,6995,878,628
3/30/2018,,856,590
3/29/2018,7240,,
3/28/2018,7905,,
3/27/2018,7895,769,552
3/26/2018,7945,762,521
3/23/2018,8615,630,485
3/22/2018,8620,629,456
3/21/2018,8925,629,428
3/20/2018,9025,636,397
3/19/2018,8465,675,369
3/16/2018,8615,691,338
3/15/2018,8310,,
3/14/2018,8290,590,304
3/13/2018,9125,485,274
3/12/2018,8910,463,248
3/9/2018,9185,383,223
3/8/2018,9495,339,200
3/7/2018,9885,309,179
3/6/2018,10800,296,160
3/5/2018,11645,298,141
3/2/2018,11085,225,121
3/1/2018,11085,198,106
2/28/2018,10770,197,93
2/27/2018,10740,170,80
2/26/2018,10405,213,69
2/23/2018,9980,215,
2/22/2018,10090,181,
2/21/2018,10440,131,
2/20/2018,11800,106,
2/19/2018,,86,
2/16/2018,10220,,
2/15/2018,10190,37,
2/14/2018,9375,30,
2/13/2018,8675,19,
2/12/2018,8865,3,
2/9/2018,8585,2,
2/8/2018,7925,2,
2/7/2018,8675,2,
2/6/2018,7655,1,
2/5/2018,7805,1,
2/2/2018,8750,,
2/1/2018,9115,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
