Date,Last Price,Open Interest,SMAVG (15)
6/25/2018,6170,,
6/22/2018,6145,,
6/21/2018,6750,582,317
6/20/2018,6770,560,283
6/19/2018,6770,503,247
6/18/2018,6735,512,215
6/15/2018,6572.5,479,
6/14/2018,6660,459,
6/13/2018,6292.5,382,
6/12/2018,6575,304,
6/11/2018,6782.5,272,
6/8/2018,7712.5,129,
6/7/2018,7752.5,128,
6/6/2018,7595,124,
6/5/2018,7672.5,121,
6/4/2018,7555,104,
6/1/2018,7495,99,
5/31/2018,7600,69,
5/30/2018,7260,21,
5/29/2018,7615,19,
5/25/2018,7460,,
5/24/2018,7605,,
5/23/2018,7695,,
5/22/2018,8232.5,,
5/21/2018,8432.5,,
