Date,Ask Price
6/22/2018,
6/21/2018,1.90052
6/20/2018,1.90273
6/19/2018,1.90487
6/18/2018,1.90451
6/15/2018,1.89885
6/14/2018,1.89064
6/13/2018,1.89146
6/12/2018,1.88568
6/11/2018,1.89144
6/8/2018,1.89479
6/7/2018,1.89313
6/6/2018,1.89616
6/5/2018,1.88572
6/4/2018,1.87413
6/1/2018,1.87527
5/31/2018,1.85956
5/30/2018,1.86094
5/29/2018,1.85832
5/25/2018,1.86077
5/24/2018,1.85542
5/23/2018,1.86198
5/22/2018,1.87643
5/21/2018,1.8684
5/18/2018,1.86192
5/17/2018,1.85541
5/16/2018,1.85091
5/15/2018,1.84989
5/14/2018,1.84828
5/11/2018,1.84476
5/10/2018,1.81668
5/9/2018,1.82221
5/8/2018,1.80661
5/7/2018,1.80273
5/4/2018,1.79728
5/3/2018,1.7931
5/2/2018,1.79384
5/1/2018,1.78959
4/30/2018,1.78203
4/27/2018,1.78062
4/26/2018,1.77033
4/25/2018,1.78502
4/24/2018,1.78821
4/23/2018,1.78709
4/20/2018,1.77744
4/19/2018,1.77308
4/18/2018,1.75786
4/17/2018,1.73426
4/16/2018,1.71889
4/13/2018,1.72316
4/12/2018,1.70352
4/11/2018,1.68884
4/10/2018,1.69399
4/9/2018,1.69364
4/6/2018,1.69717
4/5/2018,1.6849
4/4/2018,1.67499
4/3/2018,1.70719
4/2/2018,1.71798
3/29/2018,1.70671
3/28/2018,1.7029
3/27/2018,1.72585
3/26/2018,1.71943
3/23/2018,1.7096
3/22/2018,1.70587
3/21/2018,1.73186
3/20/2018,1.77389
3/19/2018,1.77209
3/16/2018,1.77155
3/15/2018,1.73607
3/14/2018,1.72859
3/13/2018,1.70296
3/12/2018,1.67761
3/9/2018,1.66893
3/8/2018,1.64623
3/7/2018,1.65915
3/6/2018,1.63996
3/5/2018,1.62997
3/2/2018,1.61741
3/1/2018,1.59552
2/28/2018,1.60769
2/27/2018,1.60995
2/26/2018,1.60865
2/23/2018,1.60525
2/22/2018,1.59519
2/21/2018,1.59259
2/20/2018,1.59788
2/16/2018,1.58348
2/15/2018,1.56642
2/14/2018,1.55554
2/13/2018,1.54827
2/12/2018,1.54368
2/9/2018,1.52257
2/8/2018,1.4979
2/7/2018,1.49458
2/6/2018,1.46652
2/5/2018,1.44405
2/2/2018,1.43805
2/1/2018,1.42421
1/31/2018,1.40642
1/30/2018,1.39999
1/29/2018,1.37726
1/26/2018,1.3773
1/25/2018,1.36753
1/24/2018,1.3816
1/23/2018,1.38812
1/22/2018,1.39141
1/19/2018,1.39489
1/18/2018,1.38765
1/17/2018,1.39961
1/16/2018,1.39848
1/12/2018,1.39449
1/11/2018,1.36797
1/10/2018,1.34462
1/9/2018,1.34893
1/8/2018,1.34532
1/5/2018,1.34655
1/4/2018,1.32858
1/3/2018,1.32734
1/2/2018,1.34756
12/29/2017,1.32487
12/28/2017,1.29836
12/27/2017,1.30607
12/26/2017,1.31039
12/22/2017,1.29348
12/21/2017,1.2974
12/20/2017,1.30691
12/19/2017,1.30257
12/18/2017,1.29503
12/15/2017,1.28105
